Drawing,Number,Annotation,,,,,
W1B - Civil - Ashton Moss ASP Proposed Compound Layout,151667-TSA-W1B-MVL1-DRG-C-CV-025015,9. The compound and access track is free draining. No black top surfacing is required.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Compound Layout,151667-TSA-W1B-MVL1-DRG-C-CV-025015,10. Live loading on compound pedestrian hardstanding areas assumed to be 5kPa,,,,,
W1B - Civil - Ashton Moss ASP Proposed Compound Layout,151667-TSA-W1B-MVL1-DRG-C-CV-025015,\L\C5;151667-TSA-00-MVM-SPE-W-CV-000001 ,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,1. For general notes refer to Drg. No.,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,3. Insitu ASP foundation to be compressive strength C40/50 unless otherwise indicated. Concrete mix to be in accordance with the Civils Specification (Section 1700).,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,4. All exposed arises to foundation to have 25x25mm chamfer unless noted otherwise.,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,5. All finishes to be as shown on the drawing and in accordance with Network Rail standard specification NR/L2/CIV/140/1700C. All finishes to be F2 unless noted otherwise.,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,6. GRP trough lids to be notched to allow cables to traverse up into the ASP building. All openings to be sealed with flexible durable waterproof sealant.,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,7. Resin anchors to fix stool supports to the insitu concrete foundation to be M16x170 Hilti HIS-N 8.8 insert with Hilti HIT-HY 200 injection mortar or equivalent, with the below requirement :,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016, Embedment depth = 170mm,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016, Nominal drill bit diameter = 28mm,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,8. Grade A4-70 stainless steel dome head anti-vandal bolts in accordance with BS EN ISO 3506-1:2009, with isolating washers to be used with the holding down bolts. All fixings to have oversized washers to ensure tight fit up.,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,9. Approximate weight of stools (from Manufacturer):,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016, Building Corner Support Stool - 19.82kg,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016, Building Edge Support Stool - 21.41kg ,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,10. All reinforcement shall be ribbed bars grade B500B (or B500C) in accordance with BS4449:2005 and shall be cut and bent in accordance with BS 8666:2019 and BS EN 1992-1 1:2004,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,11. Spacers, Ties and Stools shall be supplied and fixed by the Contractor as necessary to secure the reinforcement against displacement.^J,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,12. Nominal cover to reinforcement to be as follows: 55 mm (Nom.) = 45mm Min. + 10mm Fixing Tolerance^J,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,13. Lap lengths in accordance with BS EN 1992-2 to be as follows:,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016, B12 - Good bond: 440,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,    Poor bond: 620,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,^JB16  - Good bond: 590,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,    Poor Bond: 830,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,14. Abbreviations:   ,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016, T1  - Top first layer   ,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016, B1  - Bottom first layer   ,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016, NF1 - Near face first layer   ,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016, FF1 -  Far face first layer  ,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,15. Reinforcement is called up as follows:,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016, 32 B16-01-150-B2,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,         Location,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,         Spacing,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,         Bar Mark,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,         Bar Diameter,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,         Type of Steel,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,         Quantity,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025016,\L\C5;151667-TSA-00-MVM-SPE-W-CV-000001 ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 1 of 2),151667-TSA-W1B-MVL1-DRG-C-CV-025017,1. For general notes refer to Drg. No.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 1 of 2),151667-TSA-W1B-MVL1-DRG-C-CV-025017,2. The CDM hazard record is to be read in conjunction with this drawing: ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 1 of 2),151667-TSA-W1B-MVL1-DRG-C-CV-025017,3. GRP palisade fence and gates (including fixings between posts, pales and rails) to be designed by specialist supplier.,,,,
W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 1 of 2),151667-TSA-W1B-MVL1-DRG-C-CV-025017, GRP palisade fence and gates to be Grey.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 1 of 2),151667-TSA-W1B-MVL1-DRG-C-CV-025017, GRP palisade fence and gates arrangement based on a product by Scott Parnell. Contractor to consult designed if an alternative arrangement is required.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 1 of 2),151667-TSA-W1B-MVL1-DRG-C-CV-025017, GRP palisade fence and gates to be security type SP30 and designed in accordance with BS1722-12:2006.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 1 of 2),151667-TSA-W1B-MVL1-DRG-C-CV-025017, GRP pales to comply with BS EN 13706, either E17 or E23.,,,,
W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 1 of 2),151667-TSA-W1B-MVL1-DRG-C-CV-025017, All connections shall be bolted in accordance with BS 1722-12.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 1 of 2),151667-TSA-W1B-MVL1-DRG-C-CV-025017,4. No bonding required to fence, gates and rotating anti-climb system.,,,,
W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 1 of 2),151667-TSA-W1B-MVL1-DRG-C-CV-025017,5. No additional security requirements are required to be achieved for the ASP fencing/gates. No box outs are required around gate padlocks. ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 1 of 2),151667-TSA-W1B-MVL1-DRG-C-CV-025017,6. Anti-climb hazard signage to be provided on every other panel. Signage to be 297x210mm and steel. Signage to be fixed via fixing clips. No bonding required to signage on fence.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 1 of 2),151667-TSA-W1B-MVL1-DRG-C-CV-025017,7. Anti-climb system to be painted Grey (same colour as fencing, RAL 7035),,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of Generator Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025018,1. For general notes refer to Drg. No.,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of Generator Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025018,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of Generator Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025018,3. Insitu temporary generator slab to be compressive strength C40/50 unless otherwise indicated. Concrete mix to be in accordance with the Civils Specification (Section 1700).,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of Generator Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025018,4. All exposed arises to foundation to have 25x25mm chamfer unless noted otherwise.,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of Generator Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025018,5. All finishes to be as shown on the drawing and in accordance with Network Rail standard specification NR/L2/CIV/140/1700C. All finishes to be F2 unless noted otherwise.,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of Generator Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025018,6. The temporary generator slab has been designed to accommodate a 320kVA Aggreko Generator (1.5x4.64x2.57m) as agreed with E&P. Temporary generators assumed to be placed in the middle of the slab and are provided with their own bund product as required. Temporary generators are assumed to not be fixed to the concrete slab.,,,,,
W1B - Civil - Ashton Moss ASP GA and RC Details of Generator Slab,151667-TSA-W1B-MVL1-DRG-C-CV-025018,\L\C5;151667-TSA-00-MVM-SPE-W-CV-000001,,,,,
W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 2 of 2),151667-TSA-W1B-MVL1-DRG-C-CV-025019,\H1.38889x;\C7;1. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 2 of 2),151667-TSA-W1B-MVL1-DRG-C-CV-025019,2. For general notes refer to Drg. No.:,,,,,
W1B - Civil - Ashton Moss URX Proposed Sections and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025020,\C7;1. For general notes refer to Drg. No. ,,,,,
W1B - Civil - Ashton Moss URX Proposed Sections and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025020,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W1B - Civil - Ashton Moss URX Proposed Sections and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025020,3. All works to be undertaken in accordance with Network Rail Company Standard NR/L3/CIV/140 Issue 12 for specifying Civil Engineering Works and NR/L2/CIV/044 Issue 4.,,,,,
W1B - Civil - Ashton Moss URX Proposed Sections and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025020,4. This URX drawing is to be read in conjunction with Network Rail Standard Detail Drawing NR/CIV/SD/610 Rev. F. ,,,,,
W1B - Civil - Ashton Moss URX Proposed Sections and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025020,5. The URX is designed to accommodate a cable bending radius of 450mm.,,,,,
W1B - Civil - Ashton Moss URX Proposed Sections and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025020,6. Design loading for ducts to be in accordance with NR/L2/CIV/044 Issue 4. Earth pressures on turning chamber walls to be in accordance with NR/L3/CIV/071.,,,,,
W1B - Civil - Ashton Moss URX Proposed Sections and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025020,7. Excavation works to be carried out in accordance with the Contractor's Temporary Works Design. A shored excavation is proposed for this URX. Temporary works design required as part of separate submission. Any soft spots encountered to be removed and replaced with Type 1 compacted fill.,,,,,
W1B - Civil - Ashton Moss URX Proposed Sections and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025020,8. Material arising from excavations not suitable for spreading shall be taken off site to a suitably licensed tip. ,,,,,
W1B - Civil - Ashton Moss URX Proposed Sections and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025020,9. Backfill above ducts surround shall comply with Table 6/1 of the specification of highway works Series 600 and all materials shall be compacted in 150mm layers in accordance with NR/CIV/SD/610 Issue F and NR/L2/CIV/140 Issue 12 Cl. 190.006.,,,,,
W1B - Civil - Ashton Moss URX Proposed Sections and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025020,10. Bearing resistance at base of excavation is assumed to be a minimum of 50kPa.,,,,,
W1B - Civil - Ashton Moss URX Proposed Sections and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025020,11. STAKKAbox Ultima access chamber by Cubis Systems is GRP and provides a clear opening of 1200x1200mm. The box weighs 20.4kg.,,,,,
W1B - Civil - Ashton Moss URX Proposed Sections and Details,151667-TSA-W1B-MVL1-DRG-C-CV-025020,12. Mortar to bed chamber lids to be resin based and have a minimum tensile strength of 5N/mm2 after three hours.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021,\H1.38889x;Notes:,,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021,1. Fishtailed end unit to be fixed,,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021, to all barrier ends.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021,2. Post centres as per Manufacturer's ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021, details, but a min. of 2m.,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021, ,,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021,\H1.38889x;1. For general notes refer to Drg. No.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021,3. No bonding required to VRS barriers.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021,4. All full length PCC kerbs are to be mechanically handled.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021,5. All precast concrete kerbs and edgings shall be to BS EN 1340 and laid to BS 7533-6.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021,6. All material within 450mm of the proposed road surface shall be non-frost susceptible.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021,7. VRS barrier in accordance with 075481/CV/010 Rev. 01 from Infrastructure Access Points Best Practice Design Guide Standard Details.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021,8. Pedestrian end terminals to be provided beside the pedestrian access gate (SOP 06 & 07) all other ends to have Fish tail end terminals.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021,9. Hardstanding in accordance with NR/CIV/SD/665 Rev. C.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Access Track,151667-TSA-W1B-MVL1-DRG-C-CV-025021,10. Edging kerb in accordance with 075481/CV/012 Rev. 01 from Infrastructure Access Points Best Practice Design Guide Standard Details.,,,,,
W1B - Civil - Ashton Moss ASP Proposed Earthing and Bonding Components,151667-TSA-W1B-MVL1-DRG-C-CV-025022,\H1.38889x;\C7;1. For general notes refer to Drg. No.:,,,,,
W1B - Civil - Ashton Moss ASP Proposed Earthing and Bonding Components,151667-TSA-W1B-MVL1-DRG-C-CV-025022,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,\C7;1. For general notes refer to Drg. No.,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,3. No lighting required for proposed DNO area.,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,4. No additional security requirements are required to be achieved for the DNO fencing.,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,5. DNO cubicle lifting eyes to be removed on installation (and placed in the cubicle).,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,6. DNO as per E&P submission (refer to Drg. No. 151667-TSA-00-AMJ-DRG-E-EP-00002 and Form B 151667-TSA-00-AMJ-REP-W-EP-000007),,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,7. Permissible incoming bend radii of cables / ducts to be 450mm.,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,8. Ducts to be provided with draw rope and duct ends to be formed smooth to prevent cable/sheath damage during pull. Draw ropes to be tied off.,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,9. DNO cubicle is GRP and does not require bonding.,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,10. DNO hardstanding and GRP handrail in accordance with NR/CIV/SD/665 Rev. C,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,\pt0.0075;11. All works for the installation of the chamber is to be undertaken in accordance with Network Rail Company Standard NR/L3/CIV/140 Issue 12 for specifying Civil Engineering Works and NR/L2/CIV/044 Issue 4.,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,12. The chamber detailed on this drawing is to be read in conjunction with Network Rail Standard Detail Drawing NR/CIV/SD/610 Rev. F. ,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,13. The chamber is designed to accommodate a cable bending radius of 450mm.,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,14. Earth pressures on turning chamber walls to be in accordance with NR/L3/CIV/071.,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,15. Excavation works to install the chamber to be carried out in accordance with the Contractor's Temporary Works Design. A shored excavation is proposed. Temporary works design required as part of separate submission. Any soft spots encountered to be removed and replaced with Type 1 compacted fill.,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,16. Material arising from excavations required to install the chamber not suitable for spreading shall be taken off site to a suitably licensed tip. ,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,17. Bearing resistance at base of the chamber excavation is assumed to be a minimum of 50kPa.,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,18. STAKKAbox Ultima access chamber by Cubis Systems is GRP and provides a clear opening of 1200x1200mm. The box weighs 20.4kg.,,,,,
W1B - Civil - Ashton Moss DNO Proposed General Arrangement - Plans,151667-TSA-W1B-MVL1-DRG-C-CV-026004,19. Mortar to bed chamber lids to be resin based and have a minimum tensile strength of 5N/mm2 after three hours.,,,,,
W1B - Civil - Ashton Moss DNO Proposed DNO Slab GA,151667-TSA-W1B-MVL1-DRG-C-CV-026005,1. For general notes refer to Drg. No.,,,,,
W1B - Civil - Ashton Moss DNO Proposed DNO Slab GA,151667-TSA-W1B-MVL1-DRG-C-CV-026005,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W1B - Civil - Ashton Moss DNO Proposed DNO Slab GA,151667-TSA-W1B-MVL1-DRG-C-CV-026005,3. All insitu concrete to be compressive strength C40/50 unless otherwise indicated. Concrete mix to be in accordance with the Civils Specification (Section 1700),,,,,
W1B - Civil - Ashton Moss DNO Proposed DNO Slab GA,151667-TSA-W1B-MVL1-DRG-C-CV-026005,4. DNO to be fixed to the base with 16No. M10x110 Hilti HIS-N 8.8 insert with Hilti HIT-HY 200 injection mortar or equivalent at fixing locations (in accordance with manufacturer instructions) provided in the DNO cabinet. Layout design for fixings undertaken using Drg. No. 151667-TSA-00-AMJ-DRG-E-EP-000002 provided by E&P. The design assumes a 40mm wide x 5mm thk. baseplate to the DNO. The below requirements should be achieved for the fixings:,,,,,
W1B - Civil - Ashton Moss DNO Proposed DNO Slab GA,151667-TSA-W1B-MVL1-DRG-C-CV-026005, Embedment depth = 110mm,,,,,
W1B - Civil - Ashton Moss DNO Proposed DNO Slab GA,151667-TSA-W1B-MVL1-DRG-C-CV-026005, Nominal drill bit diameter = 18mm,,,,,
W1B - Civil - Ashton Moss DNO Proposed DNO Slab GA,151667-TSA-W1B-MVL1-DRG-C-CV-026005, M16 Grade A4-70 stainless steel head bolts with isolating washers to be provided. All fixings to have oversized washers to ensure tight fit up.,,,,,
W1B - Civil - Ashton Moss DNO Proposed DNO Slab GA,151667-TSA-W1B-MVL1-DRG-C-CV-026005,5. Live loading is assumed to be 5kPa for DNO hardstanding ,,,,,
W1B - Civil - Ashton Moss DNO Proposed DNO Slab GA,151667-TSA-W1B-MVL1-DRG-C-CV-026005,6. Precast concrete bollard as per 075481/CV/011 Rev. 01 from Infrastructure Access Points Best Practice Design Guide Standard Details,,,,,
W1B - Civil - Ashton Moss DNO Proposed DNO Slab GA,151667-TSA-W1B-MVL1-DRG-C-CV-026005,7. Precast concrete bollards do not require bonding (clearance to DNO greater than 2m),,,,,
W1B - Civil - Ashton Moss DNO Proposed DNO Slab GA,151667-TSA-W1B-MVL1-DRG-C-CV-026005,8. Precast concrete bollards to have a smooth plain white concrete finish or beadalite finish if required,,,,,
W1B - Civil - Ashton Moss DNO Proposed DNO Slab GA,151667-TSA-W1B-MVL1-DRG-C-CV-026005,\L\C5;151667-TSA-00-MVM-SPE-W-CV-000001,,,,,
W1B - Civil - Ashton Moss DNO Proposed Fencing Details,151667-TSA-W1B-MVL1-DRG-C-CV-026006,\C7;1. For general notes refer to Drg. No.,,,,,
W1B - Civil - Ashton Moss DNO Proposed Fencing Details,151667-TSA-W1B-MVL1-DRG-C-CV-026006,2. The CDM hazard record is to be read in conjunction with this drawing:,,,,,
W1B - Civil - Ashton Moss DNO Proposed Fencing Details,151667-TSA-W1B-MVL1-DRG-C-CV-026006,3. Palisade fencing to be installed to limit deflection in fence rails, the bottom horizontal rail shall be supported so that after tightening of the bolts, aligning and plumbing to the fence there is a slight upward camber. This support should be removed only once the concrete has set.,,,
W1B - Civil - Ashton Moss DNO Proposed Fencing Details,151667-TSA-W1B-MVL1-DRG-C-CV-026006,4. GRP palisade fence (including fixings between posts, pales and rails) to be designed by specialist supplier.,,,,
W1B - Civil - Ashton Moss DNO Proposed Fencing Details,151667-TSA-W1B-MVL1-DRG-C-CV-026006, GRP palisade fence to be Grey.,,,,,
W1B - Civil - Ashton Moss DNO Proposed Fencing Details,151667-TSA-W1B-MVL1-DRG-C-CV-026006, GRP palisade fence arrangement based on a product by Scott Parnell. Contractor to consult designed if an alternative arrangement is required.,,,,,
W1B - Civil - Ashton Moss DNO Proposed Fencing Details,151667-TSA-W1B-MVL1-DRG-C-CV-026006, GRP palisade fence to be security type SP30 and designed in accordance with BS1722-12:2006. ,,,,,
W1B - Civil - Ashton Moss DNO Proposed Fencing Details,151667-TSA-W1B-MVL1-DRG-C-CV-026006, GRP pales to comply with BS EN 13706, either E17 or E23,,,,
W1B - Civil - Ashton Moss DNO Proposed Fencing Details,151667-TSA-W1B-MVL1-DRG-C-CV-026006, All connections shall be bolted in accordance with BS 1722-12.,,,,,
W1B - Civil - Ashton Moss DNO Proposed Fencing Details,151667-TSA-W1B-MVL1-DRG-C-CV-026006,5. No bonding required to fencing.,,,,,
W1B - Civil - Ashton Moss DNO Proposed Fencing Details,151667-TSA-W1B-MVL1-DRG-C-CV-026006,6. Fences joined to existing fences /gates to provide a complete barrier to persons or animals as appropriate.,,,,,
W1B - Civil - Ashton Moss DNO Proposed Fencing Details,151667-TSA-W1B-MVL1-DRG-C-CV-026006,7. Fences shall be accurately set out and erected to provide a smooth alignment in plan and elevation, following the contours of the ground as closely as is practicable.,,,,
W1B - Civil - Ashton Moss DNO Proposed Fencing Details,151667-TSA-W1B-MVL1-DRG-C-CV-026006,8. The line of the fencing shall be cleared of all impending vegetation and trimmed to remove any irregularities to enable the fence infill panels to be erected at a constant distance from the ground.,,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752,1. Do not scale from this drawing,,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752,2. All dimensions are in millimetres and all levels are in metres, unless noted otherwise,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752,3. This drawing is to be read in conjuction with:,,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752, ,,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752, - 151667-TSA-35-MDL1-DRG-R-SE-021753,,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752,    Fencing and Gates Details,,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752,4.  Surveyed position of HV cables based on survey provided by Construction CRE in two separate files:-,,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752, i. HV-LV Cordinates.csv,,,,,
No match found,151667-TSA-35-MDL1-DRG-R-SE-021752, ii. 220726_RAVENSTHROPE_TOPO CABLE.csv ,,,,,
